,TILD001,TILD028,VUILD64,VUILD65,VUHD65,VUHD66,VUHD70,VUILD59,VUILD60,VUILD61,VUILD63,THD0001,TILD015,THD0002,TILD010,TILD006,THD0005,VUHD71,VUHD67,VUHD68,VUILD53,VUHD69
JCHAIN,0.001962758,2.151543298,1.478626879,0.057945701,0.030686581,0.756177262,0,0.508583743,0.297279396,0.707494891,0.240104549,1.031455196,5.446217801,1.41568803,1.078803017,1.201270772,6.169128979,0.037188507,1.762211816,0.04467324,17.22266567,0.015297873
RUFY3,0.105683016,0.089057661,0.116776757,0.058902032,0.225535407,0.119991696,0.16220235,0.08569197,0.101729707,0.115890337,0.096966712,0.154603642,0.17343406,0.071716794,0.089513383,0.040700869,0.132439907,0.032203905,0.119966696,0.092191533,0.069030402,0.164152812
GRSF1,0.328265452,0.498915524,0.407917621,0.362866738,1.200778978,0.510620257,0.683969469,0.596409265,0.516834757,0.609548302,0.808776342,0.366101445,0.739050444,0.473034498,0.426608941,0.087886679,0.405256321,0.213087135,0.821678527,0.701587515,0.244903907,0.463425403
MOB1B,0.227465679,0.134542501,0.151080893,0.07371261,0.178799698,0.108870151,0.144472212,0.127103976,0.161683974,0.133424591,0.127648626,0.116053651,0.301821274,0.102005767,0.110963417,0.045566192,0.182650396,0.033096473,0.089876153,0.115807098,0.099744626,0.171189981
DCK,0.170016089,0.19875368,0.182655449,0.165747111,0.501996599,0.221412274,0.31810135,0.286683473,0.362523229,0.240067435,0.424584879,0.313520249,0.383803846,0.247628744,0.245494953,0.044933096,0.183600996,0.075626873,0.326974923,0.265763515,0.238325104,0.168371286
SLC4A4,0.017206234,0.008012519,0.044120268,0.070238067,0.010004205,0.023798649,0.004380867,0.020408445,0.031939144,0.038655023,0.014190024,0.005267672,0.007861026,0.005608395,0.011803557,0.004276853,0.000805274,0.003818352,0.003041373,0.001315704,0.010684553,0.001035648
ANKRD17,0.325088313,0.326422876,0.257061817,0.153450158,0.506301343,0.231984833,0.437955079,0.262828626,0.201384481,0.238682926,0.285398238,0.268390272,0.434188347,0.238291428,0.202234712,0.138108962,0.303309904,0.092414416,0.290433492,0.273934889,0.118433315,0.378378366
RASSF6,0.003535238,0.018565191,0.024608421,0.045580091,0.010711405,0.014829184,0.000995906,0.014092018,0.031103619,0.030258814,0.007566049,0.002563378,0.019330333,0.009154941,0.020099468,0.006636821,0.010375934,0.000564783,0.00394631,0.000693676,0.011027641,0.011963722
CXCL8,7.842854756,2.822225372,1.05183736,0.283233095,0.273895845,2.823950692,1.198009758,1.629179868,0.485975796,1.595493975,0.260086752,2.398839193,5.925543688,2.975208304,0.236011709,0.298164504,2.148961604,0.119829453,0.256912651,1.607411676,15.9582877,1.493124746
CXCL6,0.039903308,0.008297633,0.101550541,0.061327582,0.037953182,0.032077279,0.000840416,0.023739867,0.070655941,0.116481159,0.011903721,5.79E-06,0.003145825,0.002265646,0.00513763,0.003088244,0.001785844,0.008378598,0.005592904,0.001512265,0.038775384,0
